Location_ID,Location_Name,Date_Early,Date_Mid,Date_Late,Latitude,Longitude,Region,Ocean_Basin,Ecosystem_Type,Climate_Zone
24,NPac_024,2003-01-15,2010-01-15,2025-01-15,55.0,-142.5,North_Pacific,Pacific_Ocean,Subpolar_Marine,Temperate
25,SPac_025,2003-01-15,2010-01-15,2025-01-15,-20.0,-142.5,South_Pacific,Pacific_Ocean,Tropical_Marine,Tropical
26,NPac_026,2003-01-15,2010-01-15,2025-01-15,17.5,-180.0,North_Pacific,Pacific_Ocean,Tropical_Marine,Tropical
27,SO_027,2003-01-15,2010-01-15,2025-01-15,-65.0,-67.5,Southern_Ocean,Southern_Ocean,Subpolar_Marine,Temperate
28,SAtl_028,2003-01-15,2010-01-15,2025-01-15,-57.5,15.0,South_Atlantic,Atlantic_Ocean,Subpolar_Marine,Temperate
29,Ind_029,2003-01-15,2010-01-15,2025-01-15,-50.0,97.5,Indian_Ocean,Atlantic_Ocean,Subpolar_Marine,Temperate
30,NPac_030,2003-01-15,2010-01-15,2025-01-15,2.5,-105.0,North_Pacific,Pacific_Ocean,Tropical_Marine,Tropical
31,NAtl_031,2003-01-15,2010-01-15,2025-01-15,32.5,-52.5,North_Atlantic,Atlantic_Ocean,Temperate_Marine,Subtropical
32,Eq_032,2003-01-15,2010-01-15,2025-01-15,-12.5,-142.5,Equatorial,Pacific_Ocean,Tropical_Marine,Tropical
33,Ind_033,2003-01-15,2010-01-15,2025-01-15,10.0,142.5,Indian_Ocean,Indian_Ocean,Tropical_Marine,Tropical
34,NAtl_034,2003-01-15,2010-01-15,2025-01-15,2.5,0.0,North_Atlantic,Atlantic_Ocean,Tropical_Marine,Tropical
35,Ind_035,2003-01-15,2010-01-15,2025-01-15,-42.5,97.5,Indian_Ocean,Atlantic_Ocean,Subpolar_Marine,Temperate
36,NPac_036,2003-01-15,2010-01-15,2025-01-15,32.5,-165.0,North_Pacific,Pacific_Ocean,Temperate_Marine,Subtropical
37,SPac_037,2003-01-15,2010-01-15,2025-01-15,-20.0,-82.5,South_Pacific,Atlantic_Ocean,Tropical_Marine,Tropical
38,Ind_038,2003-01-15,2010-01-15,2025-01-15,-27.5,45.0,Indian_Ocean,Indian_Ocean,Temperate_Marine,Subtropical
39,Eq_039,2003-01-15,2010-01-15,2025-01-15,-12.5,-157.5,Equatorial,Pacific_Ocean,Tropical_Marine,Tropical
40,SPac_040,2003-01-15,2010-01-15,2025-01-15,-57.5,-150.0,South_Pacific,Pacific_Ocean,Subpolar_Marine,Temperate
41,ARC_041,2003-01-15,2010-01-15,2025-01-15,77.5,30.0,Arctic,Arctic_Ocean,Polar_Marine,Polar
42,ARC_042,2003-01-15,2010-01-15,2025-01-15,70.0,15.0,Arctic,Arctic_Ocean,Polar_Marine,Polar
43,NAtl_043,2003-01-15,2010-01-15,2025-01-15,25.0,-75.0,North_Atlantic,Atlantic_Ocean,Temperate_Marine,Subtropical
44,SAtl_044,2003-01-15,2010-01-15,2025-01-15,-20.0,-22.5,South_Atlantic,Atlantic_Ocean,Tropical_Marine,Tropical
45,SPac_045,2003-01-15,2010-01-15,2025-01-15,-50.0,-165.0,South_Pacific,Pacific_Ocean,Subpolar_Marine,Temperate
46,ARC_046,2003-01-15,2010-01-15,2025-01-15,70.0,-135.0,Arctic,Arctic_Ocean,Polar_Marine,Polar
47,SAtl_047,2003-01-15,2010-01-15,2025-01-15,-57.5,-52.5,South_Atlantic,Atlantic_Ocean,Subpolar_Marine,Temperate
48,Eq_048,2003-01-15,2010-01-15,2025-01-15,-12.5,-30.0,Equatorial,Atlantic_Ocean,Tropical_Marine,Tropical
49,SPac_049,2003-01-15,2010-01-15,2025-01-15,-20.0,-165.0,South_Pacific,Pacific_Ocean,Tropical_Marine,Tropical
50,NPac_050,2003-01-15,2010-01-15,2025-01-15,10.0,-142.5,North_Pacific,Pacific_Ocean,Tropical_Marine,Tropical
51,Ind_051,2003-01-15,2010-01-15,2025-01-15,-57.5,90.0,Indian_Ocean,Atlantic_Ocean,Subpolar_Marine,Temperate
52,NPac_052,2003-01-15,2010-01-15,2025-01-15,32.5,-172.5,North_Pacific,Pacific_Ocean,Temperate_Marine,Subtropical
53,SPac_053,2003-01-15,2010-01-15,2025-01-15,-50.0,-157.5,South_Pacific,Pacific_Ocean,Subpolar_Marine,Temperate
54,NAtl_054,2003-01-15,2010-01-15,2025-01-15,47.5,-22.5,North_Atlantic,Atlantic_Ocean,Subpolar_Marine,Temperate
55,NAtl_055,2003-01-15,2010-01-15,2025-01-15,32.5,-67.5,North_Atlantic,Atlantic_Ocean,Temperate_Marine,Subtropical
56,SAtl_056,2003-01-15,2010-01-15,2025-01-15,-57.5,-75.0,South_Atlantic,Atlantic_Ocean,Subpolar_Marine,Temperate
57,Ind_057,2003-01-15,2010-01-15,2025-01-15,-35.0,30.0,Indian_Ocean,Atlantic_Ocean,Temperate_Marine,Subtropical
58,SAtl_058,2003-01-15,2010-01-15,2025-01-15,-57.5,-37.5,South_Atlantic,Atlantic_Ocean,Subpolar_Marine,Temperate
59,SPac_059,2003-01-15,2010-01-15,2025-01-15,-27.5,-180.0,South_Pacific,Pacific_Ocean,Temperate_Marine,Subtropical
60,NPac_060,2003-01-15,2010-01-15,2025-01-15,10.0,-165.0,North_Pacific,Pacific_Ocean,Tropical_Marine,Tropical
61,SPac_061,2003-01-15,2010-01-15,2025-01-15,-20.0,172.5,South_Pacific,Pacific_Ocean,Tropical_Marine,Tropical
62,SO_062,2003-01-15,2010-01-15,2025-01-15,-65.0,60.0,Southern_Ocean,Southern_Ocean,Subpolar_Marine,Temperate
63,ARC_063,2003-01-15,2010-01-15,2025-01-15,85.0,127.5,Arctic,Arctic_Ocean,Polar_Marine,Polar
64,SAtl_064,2003-01-15,2010-01-15,2025-01-15,-50.0,-52.5,South_Atlantic,Atlantic_Ocean,Subpolar_Marine,Temperate
65,ARC_065,2003-01-15,2010-01-15,2025-01-15,85.0,-67.5,Arctic,Arctic_Ocean,Polar_Marine,Polar
66,ARC_066,2003-01-15,2010-01-15,2025-01-15,77.5,60.0,Arctic,Arctic_Ocean,Polar_Marine,Polar
67,NAtl_067,2003-01-15,2010-01-15,2025-01-15,40.0,-45.0,North_Atlantic,Atlantic_Ocean,Temperate_Marine,Subtropical
68,SAtl_068,2003-01-15,2010-01-15,2025-01-15,-42.5,-15.0,South_Atlantic,Atlantic_Ocean,Subpolar_Marine,Temperate
69,SPac_069,2003-01-15,2010-01-15,2025-01-15,-42.5,-127.5,South_Pacific,Pacific_Ocean,Subpolar_Marine,Temperate
70,NAtl_070,2003-01-15,2010-01-15,2025-01-15,2.5,-22.5,North_Atlantic,Atlantic_Ocean,Tropical_Marine,Tropical
71,SAtl_071,2003-01-15,2010-01-15,2025-01-15,-57.5,-7.5,South_Atlantic,Atlantic_Ocean,Subpolar_Marine,Temperate
72,Eq_072,2003-01-15,2010-01-15,2025-01-15,-12.5,-120.0,Equatorial,Pacific_Ocean,Tropical_Marine,Tropical
73,NPac_073,2003-01-15,2010-01-15,2025-01-15,25.0,172.5,North_Pacific,Pacific_Ocean,Temperate_Marine,Subtropical
74,Ind_074,2003-01-15,2010-01-15,2025-01-15,25.0,120.0,Indian_Ocean,Indian_Ocean,Temperate_Marine,Subtropical
75,Eq_075,2003-01-15,2010-01-15,2025-01-15,-12.5,-165.0,Equatorial,Pacific_Ocean,Tropical_Marine,Tropical
76,ARC_076,2003-01-15,2010-01-15,2025-01-15,85.0,-90.0,Arctic,Arctic_Ocean,Polar_Marine,Polar
77,NAtl_077,2003-01-15,2010-01-15,2025-01-15,62.5,-22.5,North_Atlantic,Atlantic_Ocean,Subpolar_Marine,Temperate
78,Ind_078,2003-01-15,2010-01-15,2025-01-15,17.5,67.5,Indian_Ocean,Indian_Ocean,Tropical_Marine,Tropical
79,NAtl_079,2003-01-15,2010-01-15,2025-01-15,55.0,-22.5,North_Atlantic,Atlantic_Ocean,Subpolar_Marine,Temperate
80,NPac_080,2003-01-15,2010-01-15,2025-01-15,17.5,172.5,North_Pacific,Pacific_Ocean,Tropical_Marine,Tropical
81,SO_081,2003-01-15,2010-01-15,2025-01-15,-65.0,-120.0,Southern_Ocean,Southern_Ocean,Subpolar_Marine,Temperate
82,Eq_082,2003-01-15,2010-01-15,2025-01-15,-5.0,112.5,Equatorial,Indian_Ocean,Tropical_Marine,Tropical
83,NAtl_083,2003-01-15,2010-01-15,2025-01-15,32.5,-45.0,North_Atlantic,Atlantic_Ocean,Temperate_Marine,Subtropical
84,Ind_084,2003-01-15,2010-01-15,2025-01-15,-27.5,112.5,Indian_Ocean,Indian_Ocean,Temperate_Marine,Subtropical
85,ARC_085,2003-01-15,2010-01-15,2025-01-15,85.0,120.0,Arctic,Arctic_Ocean,Polar_Marine,Polar
86,ARC_086,2003-01-15,2010-01-15,2025-01-15,85.0,-180.0,Arctic,Arctic_Ocean,Polar_Marine,Polar
87,Ind_087,2003-01-15,2010-01-15,2025-01-15,17.5,90.0,Indian_Ocean,Indian_Ocean,Tropical_Marine,Tropical
88,SO_088,2003-01-15,2010-01-15,2025-01-15,-72.5,-37.5,Southern_Ocean,Southern_Ocean,Polar_Marine,Polar
89,Eq_089,2003-01-15,2010-01-15,2025-01-15,-12.5,-82.5,Equatorial,Atlantic_Ocean,Tropical_Marine,Tropical
90,SPac_090,2003-01-15,2010-01-15,2025-01-15,-20.0,-150.0,South_Pacific,Pacific_Ocean,Tropical_Marine,Tropical
91,ARC_091,2003-01-15,2010-01-15,2025-01-15,85.0,-30.0,Arctic,Arctic_Ocean,Polar_Marine,Polar
92,NPac_092,2003-01-15,2010-01-15,2025-01-15,10.0,-157.5,North_Pacific,Pacific_Ocean,Tropical_Marine,Tropical
93,Ind_093,2003-01-15,2010-01-15,2025-01-15,-57.5,120.0,Indian_Ocean,Atlantic_Ocean,Subpolar_Marine,Temperate
94,SPac_094,2003-01-15,2010-01-15,2025-01-15,-35.0,-97.5,South_Pacific,Atlantic_Ocean,Temperate_Marine,Subtropical
95,NPac_095,2003-01-15,2010-01-15,2025-01-15,25.0,-142.5,North_Pacific,Pacific_Ocean,Temperate_Marine,Subtropical
96,ARC_096,2003-01-15,2010-01-15,2025-01-15,85.0,-97.5,Arctic,Arctic_Ocean,Polar_Marine,Polar
97,NPac_097,2003-01-15,2010-01-15,2025-01-15,2.5,-90.0,North_Pacific,Atlantic_Ocean,Tropical_Marine,Tropical
98,NPac_098,2003-01-15,2010-01-15,2025-01-15,10.0,165.0,North_Pacific,Pacific_Ocean,Tropical_Marine,Tropical
99,NPac_099,2003-01-15,2010-01-15,2025-01-15,17.5,-112.5,North_Pacific,Pacific_Ocean,Tropical_Marine,Tropical
100,SO_100,2003-01-15,2010-01-15,2025-01-15,-65.0,127.5,Southern_Ocean,Southern_Ocean,Subpolar_Marine,Temperate
101,SPac_101,2003-01-15,2010-01-15,2025-01-15,-20.0,150.0,South_Pacific,Indian_Ocean,Tropical_Marine,Tropical
102,SAtl_102,2003-01-15,2010-01-15,2025-01-15,-50.0,7.5,South_Atlantic,Atlantic_Ocean,Subpolar_Marine,Temperate
103,Ind_103,2003-01-15,2010-01-15,2025-01-15,-57.5,142.5,Indian_Ocean,Atlantic_Ocean,Subpolar_Marine,Temperate
104,Eq_104,2003-01-15,2010-01-15,2025-01-15,-5.0,60.0,Equatorial,Indian_Ocean,Tropical_Marine,Tropical
105,Ind_105,2003-01-15,2010-01-15,2025-01-15,-35.0,22.5,Indian_Ocean,Atlantic_Ocean,Temperate_Marine,Subtropical
106,NAtl_106,2003-01-15,2010-01-15,2025-01-15,2.5,-30.0,North_Atlantic,Atlantic_Ocean,Tropical_Marine,Tropical
107,Ind_107,2003-01-15,2010-01-15,2025-01-15,-42.5,30.0,Indian_Ocean,Atlantic_Ocean,Subpolar_Marine,Temperate
108,SPac_108,2003-01-15,2010-01-15,2025-01-15,-35.0,-105.0,South_Pacific,Pacific_Ocean,Temperate_Marine,Subtropical
109,SO_109,2003-01-15,2010-01-15,2025-01-15,-72.5,-82.5,Southern_Ocean,Southern_Ocean,Polar_Marine,Polar
110,SPac_110,2003-01-15,2010-01-15,2025-01-15,-50.0,-135.0,South_Pacific,Pacific_Ocean,Subpolar_Marine,Temperate
111,NPac_111,2003-01-15,2010-01-15,2025-01-15,55.0,-172.5,North_Pacific,Pacific_Ocean,Subpolar_Marine,Temperate
112,NPac_112,2003-01-15,2010-01-15,2025-01-15,10.0,-120.0,North_Pacific,Pacific_Ocean,Tropical_Marine,Tropical
113,SAtl_113,2003-01-15,2010-01-15,2025-01-15,-27.5,-45.0,South_Atlantic,Atlantic_Ocean,Temperate_Marine,Subtropical
114,SAtl_114,2003-01-15,2010-01-15,2025-01-15,-27.5,7.5,South_Atlantic,Atlantic_Ocean,Temperate_Marine,Subtropical
115,ARC_115,2003-01-15,2010-01-15,2025-01-15,77.5,-15.0,Arctic,Arctic_Ocean,Polar_Marine,Polar
116,NAtl_116,2003-01-15,2010-01-15,2025-01-15,62.5,-60.0,North_Atlantic,Atlantic_Ocean,Subpolar_Marine,Temperate
117,SPac_117,2003-01-15,2010-01-15,2025-01-15,-42.5,-120.0,South_Pacific,Pacific_Ocean,Subpolar_Marine,Temperate
118,NAtl_118,2003-01-15,2010-01-15,2025-01-15,47.5,-15.0,North_Atlantic,Atlantic_Ocean,Subpolar_Marine,Temperate
119,SPac_119,2003-01-15,2010-01-15,2025-01-15,-35.0,165.0,South_Pacific,Pacific_Ocean,Temperate_Marine,Subtropical
120,SO_120,2003-01-15,2010-01-15,2025-01-15,-65.0,-52.5,Southern_Ocean,Southern_Ocean,Subpolar_Marine,Temperate
121,SO_121,2003-01-15,2010-01-15,2025-01-15,-72.5,-127.5,Southern_Ocean,Southern_Ocean,Polar_Marine,Polar
122,NPac_122,2003-01-15,2010-01-15,2025-01-15,47.5,-127.5,North_Pacific,Pacific_Ocean,Subpolar_Marine,Temperate
123,Ind_123,2003-01-15,2010-01-15,2025-01-15,-57.5,60.0,Indian_Ocean,Atlantic_Ocean,Subpolar_Marine,Temperate
124,NAtl_124,2003-01-15,2010-01-15,2025-01-15,32.5,15.0,North_Atlantic,Atlantic_Ocean,Temperate_Marine,Subtropical
125,SPac_125,2003-01-15,2010-01-15,2025-01-15,-57.5,-135.0,South_Pacific,Pacific_Ocean,Subpolar_Marine,Temperate
126,ARC_126,2003-01-15,2010-01-15,2025-01-15,85.0,52.5,Arctic,Arctic_Ocean,Polar_Marine,Polar
127,NAtl_127,2003-01-15,2010-01-15,2025-01-15,62.5,-7.5,North_Atlantic,Atlantic_Ocean,Subpolar_Marine,Temperate
128,SO_128,2003-01-15,2010-01-15,2025-01-15,-65.0,-45.0,Southern_Ocean,Southern_Ocean,Subpolar_Marine,Temperate
129,ARC_129,2003-01-15,2010-01-15,2025-01-15,77.5,-97.5,Arctic,Arctic_Ocean,Polar_Marine,Polar
130,ARC_130,2003-01-15,2010-01-15,2025-01-15,77.5,-7.5,Arctic,Arctic_Ocean,Polar_Marine,Polar
131,SO_131,2003-01-15,2010-01-15,2025-01-15,-65.0,120.0,Southern_Ocean,Southern_Ocean,Subpolar_Marine,Temperate
132,SPac_132,2003-01-15,2010-01-15,2025-01-15,-50.0,-180.0,South_Pacific,Pacific_Ocean,Subpolar_Marine,Temperate
133,SO_133,2003-01-15,2010-01-15,2025-01-15,-65.0,30.0,Southern_Ocean,Southern_Ocean,Subpolar_Marine,Temperate
134,Ind_134,2003-01-15,2010-01-15,2025-01-15,-42.5,82.5,Indian_Ocean,Atlantic_Ocean,Subpolar_Marine,Temperate
135,SAtl_135,2003-01-15,2010-01-15,2025-01-15,-27.5,-15.0,South_Atlantic,Atlantic_Ocean,Temperate_Marine,Subtropical
136,NPac_136,2003-01-15,2010-01-15,2025-01-15,55.0,-150.0,North_Pacific,Pacific_Ocean,Subpolar_Marine,Temperate
137,Ind_137,2003-01-15,2010-01-15,2025-01-15,10.0,127.5,Indian_Ocean,Indian_Ocean,Tropical_Marine,Tropical
138,SPac_138,2003-01-15,2010-01-15,2025-01-15,-42.5,-97.5,South_Pacific,Atlantic_Ocean,Subpolar_Marine,Temperate
139,NPac_139,2003-01-15,2010-01-15,2025-01-15,47.5,172.5,North_Pacific,Pacific_Ocean,Subpolar_Marine,Temperate
140,Eq_140,2003-01-15,2010-01-15,2025-01-15,-12.5,-105.0,Equatorial,Pacific_Ocean,Tropical_Marine,Tropical
141,Eq_141,2003-01-15,2010-01-15,2025-01-15,-12.5,-7.5,Equatorial,Atlantic_Ocean,Tropical_Marine,Tropical
142,Eq_142,2003-01-15,2010-01-15,2025-01-15,-5.0,-90.0,Equatorial,Atlantic_Ocean,Tropical_Marine,Tropical
143,NPac_143,2003-01-15,2010-01-15,2025-01-15,2.5,-180.0,North_Pacific,Pacific_Ocean,Tropical_Marine,Tropical
144,SAtl_144,2003-01-15,2010-01-15,2025-01-15,-35.0,-75.0,South_Atlantic,Atlantic_Ocean,Temperate_Marine,Subtropical
145,Eq_145,2003-01-15,2010-01-15,2025-01-15,-12.5,165.0,Equatorial,Pacific_Ocean,Tropical_Marine,Tropical
146,SPac_146,2003-01-15,2010-01-15,2025-01-15,-20.0,-105.0,South_Pacific,Pacific_Ocean,Tropical_Marine,Tropical
147,SO_147,2003-01-15,2010-01-15,2025-01-15,-65.0,112.5,Southern_Ocean,Southern_Ocean,Subpolar_Marine,Temperate
148,NAtl_148,2003-01-15,2010-01-15,2025-01-15,10.0,-22.5,North_Atlantic,Atlantic_Ocean,Tropical_Marine,Tropical
149,Ind_149,2003-01-15,2010-01-15,2025-01-15,40.0,135.0,Indian_Ocean,Indian_Ocean,Temperate_Marine,Subtropical
150,ARC_150,2003-01-15,2010-01-15,2025-01-15,85.0,-7.5,Arctic,Arctic_Ocean,Polar_Marine,Polar
151,Ind_151,2003-01-15,2010-01-15,2025-01-15,25.0,142.5,Indian_Ocean,Indian_Ocean,Temperate_Marine,Subtropical
152,NAtl_152,2003-01-15,2010-01-15,2025-01-15,55.0,-30.0,North_Atlantic,Atlantic_Ocean,Subpolar_Marine,Temperate
153,Ind_153,2003-01-15,2010-01-15,2025-01-15,-57.5,105.0,Indian_Ocean,Atlantic_Ocean,Subpolar_Marine,Temperate
154,Ind_154,2003-01-15,2010-01-15,2025-01-15,-50.0,60.0,Indian_Ocean,Atlantic_Ocean,Subpolar_Marine,Temperate
155,NPac_155,2003-01-15,2010-01-15,2025-01-15,10.0,-112.5,North_Pacific,Pacific_Ocean,Tropical_Marine,Tropical
156,ARC_156,2003-01-15,2010-01-15,2025-01-15,85.0,75.0,Arctic,Arctic_Ocean,Polar_Marine,Polar
157,Eq_157,2003-01-15,2010-01-15,2025-01-15,-5.0,97.5,Equatorial,Indian_Ocean,Tropical_Marine,Tropical
158,SO_158,2003-01-15,2010-01-15,2025-01-15,-65.0,-105.0,Southern_Ocean,Southern_Ocean,Subpolar_Marine,Temperate
159,NPac_159,2003-01-15,2010-01-15,2025-01-15,10.0,150.0,North_Pacific,Indian_Ocean,Tropical_Marine,Tropical
160,ARC_160,2003-01-15,2010-01-15,2025-01-15,77.5,120.0,Arctic,Arctic_Ocean,Polar_Marine,Polar
161,Eq_161,2003-01-15,2010-01-15,2025-01-15,-5.0,-7.5,Equatorial,Atlantic_Ocean,Tropical_Marine,Tropical
162,Ind_162,2003-01-15,2010-01-15,2025-01-15,-20.0,82.5,Indian_Ocean,Indian_Ocean,Tropical_Marine,Tropical
163,Eq_163,2003-01-15,2010-01-15,2025-01-15,-12.5,-97.5,Equatorial,Atlantic_Ocean,Tropical_Marine,Tropical
164,NPac_164,2003-01-15,2010-01-15,2025-01-15,17.5,-172.5,North_Pacific,Pacific_Ocean,Tropical_Marine,Tropical
165,Eq_165,2003-01-15,2010-01-15,2025-01-15,-5.0,-15.0,Equatorial,Atlantic_Ocean,Tropical_Marine,Tropical
166,NPac_166,2003-01-15,2010-01-15,2025-01-15,10.0,-135.0,North_Pacific,Pacific_Ocean,Tropical_Marine,Tropical
167,ARC_167,2003-01-15,2010-01-15,2025-01-15,85.0,-75.0,Arctic,Arctic_Ocean,Polar_Marine,Polar
168,NAtl_168,2003-01-15,2010-01-15,2025-01-15,62.5,-52.5,North_Atlantic,Atlantic_Ocean,Subpolar_Marine,Temperate
169,NPac_169,2003-01-15,2010-01-15,2025-01-15,40.0,-180.0,North_Pacific,Pacific_Ocean,Temperate_Marine,Subtropical
170,ARC_170,2003-01-15,2010-01-15,2025-01-15,85.0,37.5,Arctic,Arctic_Ocean,Polar_Marine,Polar
171,ARC_171,2003-01-15,2010-01-15,2025-01-15,85.0,7.5,Arctic,Arctic_Ocean,Polar_Marine,Polar
172,SO_172,2003-01-15,2010-01-15,2025-01-15,-65.0,-112.5,Southern_Ocean,Southern_Ocean,Subpolar_Marine,Temperate
173,Eq_173,2003-01-15,2010-01-15,2025-01-15,-12.5,0.0,Equatorial,Atlantic_Ocean,Tropical_Marine,Tropical
174,SPac_174,2003-01-15,2010-01-15,2025-01-15,-35.0,-165.0,South_Pacific,Pacific_Ocean,Temperate_Marine,Subtropical
175,NPac_175,2003-01-15,2010-01-15,2025-01-15,62.5,-180.0,North_Pacific,Pacific_Ocean,Subpolar_Marine,Temperate
176,SPac_176,2003-01-15,2010-01-15,2025-01-15,-35.0,-112.5,South_Pacific,Pacific_Ocean,Temperate_Marine,Subtropical
177,NAtl_177,2003-01-15,2010-01-15,2025-01-15,2.5,-7.5,North_Atlantic,Atlantic_Ocean,Tropical_Marine,Tropical
178,Eq_178,2003-01-15,2010-01-15,2025-01-15,-5.0,-30.0,Equatorial,Atlantic_Ocean,Tropical_Marine,Tropical
179,SPac_179,2003-01-15,2010-01-15,2025-01-15,-20.0,-112.5,South_Pacific,Pacific_Ocean,Tropical_Marine,Tropical
180,Eq_180,2003-01-15,2010-01-15,2025-01-15,-12.5,7.5,Equatorial,Atlantic_Ocean,Tropical_Marine,Tropical
181,SPac_181,2003-01-15,2010-01-15,2025-01-15,-35.0,-127.5,South_Pacific,Pacific_Ocean,Temperate_Marine,Subtropical
182,NPac_182,2003-01-15,2010-01-15,2025-01-15,2.5,157.5,North_Pacific,Pacific_Ocean,Tropical_Marine,Tropical
183,NAtl_183,2003-01-15,2010-01-15,2025-01-15,17.5,-52.5,North_Atlantic,Atlantic_Ocean,Tropical_Marine,Tropical
184,NAtl_184,2003-01-15,2010-01-15,2025-01-15,17.5,-67.5,North_Atlantic,Atlantic_Ocean,Tropical_Marine,Tropical
185,SO_185,2003-01-15,2010-01-15,2025-01-15,-65.0,75.0,Southern_Ocean,Southern_Ocean,Subpolar_Marine,Temperate
186,Ind_186,2003-01-15,2010-01-15,2025-01-15,17.5,120.0,Indian_Ocean,Indian_Ocean,Tropical_Marine,Tropical
187,NPac_187,2003-01-15,2010-01-15,2025-01-15,17.5,-127.5,North_Pacific,Pacific_Ocean,Tropical_Marine,Tropical
188,ARC_188,2003-01-15,2010-01-15,2025-01-15,77.5,-165.0,Arctic,Arctic_Ocean,Polar_Marine,Polar
189,ARC_189,2003-01-15,2010-01-15,2025-01-15,70.0,165.0,Arctic,Arctic_Ocean,Polar_Marine,Polar
190,SAtl_190,2003-01-15,2010-01-15,2025-01-15,-20.0,-75.0,South_Atlantic,Atlantic_Ocean,Tropical_Marine,Tropical
191,ARC_191,2003-01-15,2010-01-15,2025-01-15,85.0,150.0,Arctic,Arctic_Ocean,Polar_Marine,Polar
192,Eq_192,2003-01-15,2010-01-15,2025-01-15,-12.5,120.0,Equatorial,Indian_Ocean,Tropical_Marine,Tropical
193,Eq_193,2003-01-15,2010-01-15,2025-01-15,-12.5,-127.5,Equatorial,Pacific_Ocean,Tropical_Marine,Tropical
194,Ind_194,2003-01-15,2010-01-15,2025-01-15,2.5,142.5,Indian_Ocean,Indian_Ocean,Tropical_Marine,Tropical
195,ARC_195,2003-01-15,2010-01-15,2025-01-15,70.0,52.5,Arctic,Arctic_Ocean,Polar_Marine,Polar
196,NPac_196,2003-01-15,2010-01-15,2025-01-15,32.5,157.5,North_Pacific,Pacific_Ocean,Temperate_Marine,Subtropical
197,ARC_197,2003-01-15,2010-01-15,2025-01-15,77.5,52.5,Arctic,Arctic_Ocean,Polar_Marine,Polar
198,NPac_198,2003-01-15,2010-01-15,2025-01-15,40.0,-172.5,North_Pacific,Pacific_Ocean,Temperate_Marine,Subtropical
